has,prefers,count
AsyncAckSender,RetryListOfCollectors,adaptor
AsyncAckSender,AsyncAckSender$CommitPollThread,adaptor
AsyncAckSender,AsyncAckSender$DelayedCommit,adaptor
AsyncAckSender,ChukwaHttpSender$CommitListEntry,adaptor
AsyncAckSender,ChukwaHttpSender,adaptor
AsyncAckSender,Logger,adaptor
AsyncAckSender,ChukwaAgent,adaptor
AsyncAckSender,Configuration,adaptor
AsyncAckSender,PostMethod,adaptor
AsyncAckSender,DataFactory,adaptor
AsyncAckSender,Adaptor,adaptor
AsyncAckSender,HttpMethodBase,adaptor
AsyncAckSender$CommitPollThread,ChukwaHttpSender,no_match
AsyncAckSender$CommitPollThread,AsyncAckSender$DelayedCommit,no_match
AsyncAckSender$CommitPollThread,GetMethod,no_match
AsyncAckSender$CommitPollThread,AsyncAckSender,no_match
AsyncAckSender$CommitPollThread,Configuration,no_match
AsyncAckSender$CommitPollThread,ChukwaAgent$Offset,no_match
AsyncAckSender$CommitPollThread,Adaptor,no_match
AsyncAckSender$CommitPollThread,Logger,no_match
AsyncAckSender$CommitPollThread,ChukwaAgent,no_match
AsyncAckSender$CommitPollThread,AdaptorResetThread,no_match
AsyncAckSender$CommitPollThread,HttpMethodBase,no_match
AsyncAckSender$DelayedCommit,ChukwaHttpSender$CommitListEntry,no_match
AsyncAckSender$DelayedCommit,Adaptor,no_match
AsyncAckSender$DelayedCommit,AsyncAckSender,no_match
AsyncAckSender$DelayedCommit,ChukwaHttpSender,no_match
ChukwaHttpSender,Chunk,io
ChukwaHttpSender,DataOutputBuffer,io
ChukwaHttpSender,ChukwaHttpSender$CommitListEntry,io
ChukwaHttpSender,ChukwaHttpSender$BuffersRequestEntity,io
ChukwaHttpSender,PostMethod,io
ChukwaHttpSender,ChukwaHttpSender$1,io
ChukwaHttpSender,HttpException,io
ChukwaHttpSender,HttpSenderMetrics,io
ChukwaHttpSender,MultiThreadedHttpConnectionManager,io
ChukwaHttpSender,HttpClient,io
ChukwaHttpSender,ChukwaSender,io
ChukwaHttpSender,Logger,io
ChukwaHttpSender,Configuration,io
ChukwaHttpSender,RequestEntity,io
ChukwaHttpSender,HttpMethodBase,io
ChukwaHttpSender,HttpMethodParams,io
ChukwaHttpSender,MetricsTimeVaryingInt,io
ChukwaHttpSender,Adaptor,io
ChukwaHttpSender,HttpMethod,io
ChukwaHttpSender,StatusLine,io
ChukwaHttpSender,HttpConnectionManager,io
ChukwaHttpSender$1,HttpMethodRetryHandler,no_match
ChukwaHttpSender$1,ChukwaHttpSender,no_match
ChukwaHttpSender$1,HttpMethod,no_match
ChukwaHttpSender$1,HttpMethodBase,no_match
ChukwaHttpSender$BuffersRequestEntity,DataOutputBuffer,no_match
ChukwaHttpSender$BuffersRequestEntity,RequestEntity,no_match
ChukwaHttpSender$BuffersRequestEntity,ChukwaHttpSender,no_match
ChukwaHttpSender$CommitListEntry,Adaptor,no_match
ChukwaHttpSender$CommitListEntry,ChukwaHttpSender,no_match
ChukwaSender,ChukwaHttpSender$CommitListEntry,adaptor
ChukwaSender,Chunk,adaptor
ChukwaSender,ChukwaHttpSender,adaptor
RetryListOfCollectors,Configuration,security
HttpSenderActivityMBean,MetricsDynamicMBeanBase,xml
HttpSenderActivityMBean,MetricsRegistry,xml
HttpSenderActivityMBean,MBeanUtil,xml
HttpSenderMetrics,MetricsRegistry,adaptor
HttpSenderMetrics,MetricsTimeVaryingInt,adaptor
HttpSenderMetrics,HttpSenderActivityMBean,adaptor
HttpSenderMetrics,MetricsBase,adaptor
HttpSenderMetrics,Updater,adaptor
HttpSenderMetrics,MetricsRecord,adaptor
HttpSenderMetrics,MetricsContext,adaptor
HttpSenderMetrics,MetricsUtil,adaptor
ConsoleOutConnector,Chunk,adaptor
ConsoleOutConnector,Connector,adaptor
ConsoleOutConnector,ChukwaAgent,adaptor
ConsoleOutConnector,ChunkQueue,adaptor
ConsoleOutConnector,DataFactory,adaptor
ConsoleOutConnector,Adaptor,adaptor
FilePerPostWriter,Path,adaptor
FilePerPostWriter,ChukwaArchiveKey,adaptor
FilePerPostWriter,ChunkImpl,adaptor
FilePerPostWriter,Chunk,adaptor
FilePerPostWriter,WriterException,adaptor
FilePerPostWriter,SeqFileWriter$StatReportingTask,adaptor
FilePerPostWriter,SeqFileWriter,adaptor
FilePerPostWriter,FileSystem,adaptor
FilePerPostWriter,Configuration,adaptor
FilePerPostWriter,ChukwaWriter$CommitStatus,adaptor
FilePerPostWriter,FSDataOutputStream,adaptor
FilePerPostWriter,SequenceFile$Writer,adaptor
FilePerPostWriter,SequenceFile$CompressionType,adaptor
FilePerPostWriter,SequenceFile,adaptor
FilePerPostWriter,ChukwaWriter,adaptor
FilePerPostWriter,CompressionCodec,adaptor
FileTailerStressTest,Server,adaptor
FileTailerStressTest,Context,adaptor
FileTailerStressTest,Configuration,adaptor
FileTailerStressTest,ServletCollector,adaptor
FileTailerStressTest,ConsoleWriter,adaptor
FileTailerStressTest,ServletHolder,adaptor
FileTailerStressTest,ChukwaAgent,adaptor
FileTailerStressTest,HttpConnector,adaptor
FileTailerStressTest,ChukwaConfiguration,adaptor
FileTailerStressTest,ChukwaAgentController,adaptor
FileTailerStressTest,FileTailerStressTest$OccasionalWriterThread,adaptor
FileTailerStressTest,HandlerContainer,adaptor
FileTailerStressTest,ChukwaWriter,adaptor
FileTailerStressTest$OccasionalWriterThread,FileTailerStressTest,no_match
SinkFileValidator,Configuration,security
SinkFileValidator,SequenceFile$Reader,security
SinkFileValidator,Path,security
SinkFileValidator,ChukwaArchiveKey,security
SinkFileValidator,Writable,security
SinkFileValidator,FileSystem,security
SinkFileValidator,ChunkImpl,security
SinkFileValidator,SequenceFile,security
SinkFileValidator,LocalFileSystem,security
ChukwaWriter,ChukwaWriter$1,io
ChukwaWriter,ChukwaWriter$2,io
ChukwaWriter,ChukwaWriter$COMMIT_PENDING,io
ChukwaWriter,ChukwaWriter$CommitStatus,io
ChukwaWriter,Configuration,io
ChukwaWriter,WriterException,io
ChukwaWriter,Chunk,io
ChukwaWriter$1,ChukwaWriter$CommitStatus,no_match
ChukwaWriter$1,ChukwaWriter,no_match
ChukwaWriter$2,ChukwaWriter$CommitStatus,no_match
ChukwaWriter$2,ChukwaWriter,no_match
ChukwaWriter$COMMIT_PENDING,ChukwaWriter$CommitStatus,no_match
ChukwaWriter$COMMIT_PENDING,ChukwaWriter,no_match
ChukwaWriter$CommitStatus,ChukwaWriter,no_match
ClientAck,Logger,security
ConsoleWriter,ConsoleWriter$StatReportingTask,io
ConsoleWriter,Chunk,io
ConsoleWriter,ChukwaWriter,io
ConsoleWriter,ConsoleWriter$1,io
ConsoleWriter,Configuration,io
ConsoleWriter,WriterException,io
ConsoleWriter,ChukwaWriter$CommitStatus,io
ConsoleWriter$1,ConsoleWriter,no_match
ConsoleWriter$StatReportingTask,ConsoleWriter,no_match
ConsoleWriter$StatReportingTask,ConsoleWriter$1,no_match
Dedup,Chunk,security
Dedup,Dedup$DedupKey,security
Dedup,Dedup$FixedSizeCache,security
Dedup,PipelineableWriter,security
Dedup,ChukwaWriter$CommitStatus,security
Dedup,WriterException,security
Dedup,Configuration,security
Dedup,ChukwaWriter,security
Dedup$DedupKey,Dedup,no_match
Dedup$FixedSizeCache,Dedup,no_match
ExtractorWriter,PipelineableWriter,adaptor
ExtractorWriter,LogDisplayServlet,adaptor
ExtractorWriter,WriterException,adaptor
ExtractorWriter,Configuration,adaptor
ExtractorWriter,ChukwaWriter$CommitStatus,adaptor
ExtractorWriter,Chunk,adaptor
ExtractorWriter,ChukwaWriter,adaptor
InMemoryWriter,WriterException,io
InMemoryWriter,Chunk,io
InMemoryWriter,ChukwaWriter,io
InMemoryWriter,Configuration,io
InMemoryWriter,ChukwaWriter$CommitStatus,io
InMemoryWriter,ChunkImpl,io
NullWriter,Chunk,adaptor
NullWriter,ChukwaWriter,adaptor
NullWriter,ChukwaWriter$CommitStatus,adaptor
NullWriter,WriterException,adaptor
NullWriter,Configuration,adaptor
PipelineStageWriter,PipelineableWriter,security
PipelineStageWriter,ChukwaWriter,security
PipelineStageWriter,WriterException,security
PipelineStageWriter,Logger,security
PipelineStageWriter,ChukwaWriter$CommitStatus,security
PipelineStageWriter,Chunk,security
PipelineStageWriter,Configuration,security
PipelineableWriter,ChukwaWriter,adaptor
PipelineableWriter,ChukwaWriter$CommitStatus,adaptor
PipelineableWriter,Chunk,adaptor
PipelineableWriter,WriterException,adaptor
SeqFileWriter,WriterException,security
SeqFileWriter,SeqFileWriter$StatReportingTask,security
SeqFileWriter,Path,security
SeqFileWriter,ChukwaArchiveKey,security
SeqFileWriter,ChunkImpl,security
SeqFileWriter,SeqFileWriter$1,security
SeqFileWriter,ChukwaWriter$COMMIT_PENDING,security
SeqFileWriter,Chunk,security
SeqFileWriter,PipelineableWriter,security
SeqFileWriter,ChukwaWriter,security
SeqFileWriter,Logger,security
SeqFileWriter,FileSystem,security
SeqFileWriter,Configuration,security
SeqFileWriter,FSDataOutputStream,security
SeqFileWriter,SequenceFile$Writer,security
SeqFileWriter,ChukwaWriter$CommitStatus,security
SeqFileWriter,DaemonWatcher,security
SeqFileWriter,SequenceFile$CompressionType,security
SeqFileWriter,SequenceFile,security
SeqFileWriter,CompressionCodec,security
SeqFileWriter$1,SeqFileWriter,no_match
SeqFileWriter$StatReportingTask,SeqFileWriter,no_match
SeqFileWriter$StatReportingTask,Logger,no_match
SocketTeeWriter,SocketTeeWriter$Tee,security
SocketTeeWriter,Chunk,security
SocketTeeWriter,SocketTeeWriter$SocketListenThread,security
SocketTeeWriter,WriterException,security
SocketTeeWriter,PipelineableWriter,security
SocketTeeWriter,SocketTeeWriter$DataFormat,security
SocketTeeWriter,Logger,security
SocketTeeWriter,ChukwaWriter,security
SocketTeeWriter,ChukwaWriter$CommitStatus,security
SocketTeeWriter,Configuration,security
SocketTeeWriter$DataFormat,SocketTeeWriter,no_match
SocketTeeWriter$SocketListenThread,SocketTeeWriter$Tee,no_match
SocketTeeWriter$SocketListenThread,SocketTeeWriter,no_match
SocketTeeWriter$SocketListenThread,Configuration,no_match
SocketTeeWriter$SocketListenThread,Logger,no_match
SocketTeeWriter$Tee,Chunk,no_match
SocketTeeWriter$Tee,Filter,no_match
SocketTeeWriter$Tee,SocketTeeWriter$DataFormat,no_match
SocketTeeWriter$Tee,SocketTeeWriter,no_match
SocketTeeWriter$Tee,Logger,no_match
LocalToRemoteHdfsMover,Path,security
LocalToRemoteHdfsMover,Logger,security
LocalToRemoteHdfsMover,FileSystem,security
LocalToRemoteHdfsMover,Configuration,security
LocalToRemoteHdfsMover,FileStatus,security
LocalToRemoteHdfsMover,DaemonWatcher,security
LocalToRemoteHdfsMover,LocalFileSystem,security
LocalWriter,Path,security
LocalWriter,WriterException,security
LocalWriter,LocalWriter$RotateTask,security
LocalWriter,LocalWriter$StatReportingTask,security
LocalWriter,LocalToRemoteHdfsMover,security
LocalWriter,ChukwaArchiveKey,security
LocalWriter,Chunk,security
LocalWriter,ChunkImpl,security
LocalWriter,ChukwaWriter,security
LocalWriter,LocalWriter$1,security
LocalWriter,Logger,security
LocalWriter,FileSystem,security
LocalWriter,Configuration,security
LocalWriter,FSDataOutputStream,security
LocalWriter,SequenceFile$Writer,security
LocalWriter,FileStatus,security
LocalWriter,ChukwaWriter$CommitStatus,security
LocalWriter,DaemonWatcher,security
LocalWriter,SequenceFile$CompressionType,security
LocalWriter,SequenceFile,security
LocalWriter,LocalFileSystem,security
LocalWriter,CompressionCodec,security
LocalWriter$1,LocalWriter,no_match
LocalWriter$RotateTask,LocalWriter,no_match
LocalWriter$RotateTask,LocalWriter$1,no_match
LocalWriter$StatReportingTask,LocalWriter,no_match
LocalWriter$StatReportingTask,LocalWriter$1,no_match
LocalWriter$StatReportingTask,Logger,no_match
DataLoaderFactory,ChukwaConfiguration,adaptor
DataLoaderFactory,FileSystem,adaptor
DataLoaderFactory,FileStatus,adaptor
DataLoaderFactory,Log,adaptor
DataLoaderFactory,LogFactory,adaptor
FSMDataLoader,Configuration,security
FSMDataLoader,Path,security
FSMDataLoader,FSMBuilder,security
FSMDataLoader,MetricDataLoader,security
FSMDataLoader,DataLoaderFactory,security
FSMDataLoader,Log,security
FSMDataLoader,ChukwaConfiguration,security
FSMDataLoader,FileSystem,security
FSMDataLoader,FileStatus,security
FSMDataLoader,ToolRunner,security
FSMDataLoader,ExceptionUtil,security
FSMDataLoader,LogFactory,security
FSMDataLoader,Tool,security
MetricDataLoader,Path,security
MetricDataLoader,DatabaseConfig,security
MetricDataLoader,ClusterConfig,security
MetricDataLoader,DatabaseWriter,security
MetricDataLoader,SequenceFile$Reader,security
MetricDataLoader,ChukwaRecordKey,security
MetricDataLoader,ChukwaRecord,security
MetricDataLoader,ChukwaConfiguration,security
MetricDataLoader,Log,security
MetricDataLoader,FileSystem,security
MetricDataLoader,SequenceFile,security
MetricDataLoader,RecordUtil,security
MetricDataLoader,ExceptionUtil,security
MetricDataLoader,LogFactory,security
MetricDataLoader,Configuration,security
MetricDataLoader,Writable,security
MetricDataLoader,Record,security
MetricDataLoaderPool,MetricDataLoader,security
MetricDataLoaderPool,DataLoaderFactory,security
MetricDataLoaderPool,Log,security
MetricDataLoaderPool,ChukwaConfiguration,security
MetricDataLoaderPool,FileSystem,security
MetricDataLoaderPool,FileStatus,security
MetricDataLoaderPool,Path,security
MetricDataLoaderPool,ExceptionUtil,security
MetricDataLoaderPool,LogFactory,security
SocketDataLoader,ChukwaConfiguration,security
SocketDataLoader,Logger,security
SocketDataLoader,Chunk,security
SocketDataLoader,DataFactory,security
SocketDataLoader,ExceptionUtil,security
SocketDataLoader,ChunkImpl,security
SocketDataLoader,Configuration,security
UserStore,Path,security
UserStore,JSONObject,security
UserStore,UserBean,security
UserStore,JSONArray,security
UserStore,Configuration,security
UserStore,ChukwaConfiguration,security
UserStore,Log,security
UserStore,FileStatus,security
UserStore,FSDataInputStream,security
UserStore,FileSystem,security
UserStore,FSDataOutputStream,security
UserStore,HiccWebServer,security
UserStore,ExceptionUtil,security
UserStore,LogFactory,security
ViewStore,Path,security
ViewStore,ViewBean,security
ViewStore,JSONObject,security
ViewStore,JSONArray,security
ViewStore,Configuration,security
ViewStore,ChukwaConfiguration,security
ViewStore,Log,security
ViewStore,FileStatus,security
ViewStore,FSDataInputStream,security
ViewStore,FileSystem,security
ViewStore,FSDataOutputStream,security
ViewStore,HiccWebServer,security
ViewStore,ExceptionUtil,security
ViewStore,LogFactory,security
WidgetStore,Path,no_match
WidgetStore,CatalogBean,no_match
WidgetStore,WidgetBean,no_match
WidgetStore,JSONObject,no_match
WidgetStore,Configuration,no_match
WidgetStore,ChukwaConfiguration,no_match
WidgetStore,Log,no_match
WidgetStore,FSDataOutputStream,no_match
WidgetStore,FileSystem,no_match
WidgetStore,FSDataInputStream,no_match
WidgetStore,FileStatus,no_match
WidgetStore,HiccWebServer,no_match
WidgetStore,ExceptionUtil,no_match
WidgetStore,LogFactory,no_match
ChukwaArchiveBuilder,JobConf,bean
ChukwaArchiveBuilder,SequenceFileInputFormat,bean
ChukwaArchiveBuilder,IdentityMapper,bean
ChukwaArchiveBuilder,ChukwaArchiveBuilder$UniqueKeyReduce,bean
ChukwaArchiveBuilder,ChukwaArchiveDailyPartitioner,bean
ChukwaArchiveBuilder,ChukwaArchiveDailyOutputFormat,bean
ChukwaArchiveBuilder,ChukwaArchiveHourlyPartitioner,bean
ChukwaArchiveBuilder,ChukwaArchiveHourlyOutputFormat,bean
ChukwaArchiveBuilder,ChukwaArchiveDataTypePartitioner,bean
ChukwaArchiveBuilder,ChukwaArchiveDataTypeOutputFormat,bean
ChukwaArchiveBuilder,ChukwaArchiveStreamNamePartitioner,bean
ChukwaArchiveBuilder,ChukwaArchiveStreamNameOutputFormat,bean
ChukwaArchiveBuilder,ChukwaArchiveKey,bean
ChukwaArchiveBuilder,ChunkImpl,bean
ChukwaArchiveBuilder,Path,bean
ChukwaArchiveBuilder,ChukwaConfiguration,bean
ChukwaArchiveBuilder,Configured,bean
ChukwaArchiveBuilder,Tool,bean
ChukwaArchiveBuilder,Logger,bean
ChukwaArchiveBuilder,ToolRunner,bean
ChukwaArchiveBuilder,FileInputFormat,bean
ChukwaArchiveBuilder,FileOutputFormat,bean
ChukwaArchiveBuilder,JobClient,bean
ChukwaArchiveBuilder,Configuration,bean
ChukwaArchiveBuilder,RunningJob,bean
ChukwaArchiveBuilder$UniqueKeyReduce,ChunkImpl,no_match
ChukwaArchiveBuilder$UniqueKeyReduce,ChukwaArchiveKey,no_match
ChukwaArchiveBuilder$UniqueKeyReduce,MapReduceBase,no_match
ChukwaArchiveBuilder$UniqueKeyReduce,Reducer,no_match
ChukwaArchiveBuilder$UniqueKeyReduce,OutputCollector,no_match
ChukwaArchiveBuilder$UniqueKeyReduce,Reporter,no_match
ChukwaArchiveBuilder$UniqueKeyReduce,ChukwaArchiveBuilder,no_match
ChukwaArchiveDailyOutputFormat,ChukwaArchiveKey,bean
ChukwaArchiveDailyOutputFormat,ChunkImpl,bean
ChukwaArchiveDailyOutputFormat,MultipleSequenceFileOutputFormat,bean
ChukwaArchiveDailyOutputFormat,Logger,bean
ChukwaArchiveDailyPartitioner,ChukwaArchiveKey,bean
ChukwaArchiveDailyPartitioner,ChunkImpl,bean
ChukwaArchiveDailyPartitioner,Partitioner,bean
ChukwaArchiveDailyPartitioner,JobConf,bean
ChukwaArchiveDataTypeOutputFormat,ChukwaArchiveKey,bean
ChukwaArchiveDataTypeOutputFormat,ChunkImpl,bean
ChukwaArchiveDataTypeOutputFormat,MultipleSequenceFileOutputFormat,bean
ChukwaArchiveDataTypeOutputFormat,Logger,bean
ChukwaArchiveDataTypeOutputFormat,FileSystem,bean
ChukwaArchiveDataTypeOutputFormat,JobConf,bean
ChukwaArchiveDataTypeOutputFormat,Progressable,bean
ChukwaArchiveDataTypeOutputFormat,RecordWriter,bean
ChukwaArchiveDataTypeOutputFormat,RecordUtil,bean
ChukwaArchiveDataTypeOutputFormat,Chunk,bean
ChukwaArchiveDataTypePartitioner,ChukwaArchiveKey,bean
ChukwaArchiveDataTypePartitioner,ChunkImpl,bean
ChukwaArchiveDataTypePartitioner,Partitioner,bean
ChukwaArchiveDataTypePartitioner,JobConf,bean
ChukwaArchiveDataTypePartitioner,RecordUtil,bean
ChukwaArchiveDataTypePartitioner,Chunk,bean
ChukwaArchiveHourlyOutputFormat,ChukwaArchiveKey,bean
ChukwaArchiveHourlyOutputFormat,ChunkImpl,bean
ChukwaArchiveHourlyOutputFormat,MultipleSequenceFileOutputFormat,bean
ChukwaArchiveHourlyOutputFormat,Logger,bean
ChukwaArchiveHourlyPartitioner,ChukwaArchiveKey,bean
ChukwaArchiveHourlyPartitioner,ChunkImpl,bean
ChukwaArchiveHourlyPartitioner,Partitioner,bean
ChukwaArchiveHourlyPartitioner,JobConf,bean
ChukwaArchiveManager,ChukwaConfiguration,security
ChukwaArchiveManager,Path,security
ChukwaArchiveManager,ChukwaArchiveBuilder,security
ChukwaArchiveManager,CHUKWA_CONSTANT,security
ChukwaArchiveManager,Logger,security
ChukwaArchiveManager,FileSystem,security
ChukwaArchiveManager,FileStatus,security
ChukwaArchiveManager,DaemonWatcher,security
ChukwaArchiveManager,ToolRunner,security
ChukwaArchiveManager,Configuration,security
ChukwaArchiveManager,Tool,security
ChukwaArchiveStreamNameOutputFormat,MultipleSequenceFileOutputFormat,bean
ChukwaArchiveStreamNameOutputFormat,ChukwaArchiveKey,bean
ChukwaArchiveStreamNameOutputFormat,ChunkImpl,bean
ChukwaArchiveStreamNamePartitioner,ChukwaArchiveKey,bean
ChukwaArchiveStreamNamePartitioner,ChunkImpl,bean
ChukwaArchiveStreamNamePartitioner,Partitioner,bean
ChukwaArchiveStreamNamePartitioner,JobConf,bean
SinkArchiver,ChukwaConfiguration,io
SinkArchiver,Path,io
SinkArchiver,ChukwaArchiveBuilder,io
SinkArchiver,SinkArchiver$1,io
SinkArchiver,CHUKWA_CONSTANT,io
SinkArchiver,PathFilter,io
SinkArchiver,Logger,io
SinkArchiver,Configuration,io
SinkArchiver,FileSystem,io
SinkArchiver,FileStatus,io
SinkArchiver,ToolRunner,io
SinkArchiver,Tool,io
SinkArchiver$1,PathFilter,no_match
SinkArchiver$1,Path,no_match
SinkArchiver$1,SinkArchiver,no_match
ChukwaRecordOutputFormat,ChukwaRecordKey,bean
ChukwaRecordOutputFormat,ChukwaRecord,bean
ChukwaRecordOutputFormat,MultipleSequenceFileOutputFormat,bean
ChukwaRecordOutputFormat,Logger,bean
ChukwaRecordOutputFormat,RecordUtil,bean
ChukwaRecordOutputFormat,Util,bean
ChukwaRecordOutputFormat,Record,bean
ChukwaRecordPartitioner,ChukwaRecordKey,bean
ChukwaRecordPartitioner,ChukwaRecord,bean
ChukwaRecordPartitioner,Partitioner,bean
ChukwaRecordPartitioner,Logger,bean
ChukwaRecordPartitioner,JobConf,bean
DailyChukwaRecordRolling,Path,security
DailyChukwaRecordRolling,RecordMerger,security
DailyChukwaRecordRolling,ChukwaConfiguration,security
DailyChukwaRecordRolling,JobConf,security
DailyChukwaRecordRolling,SequenceFileInputFormat,security
DailyChukwaRecordRolling,IdentityMapper,security
DailyChukwaRecordRolling,IdentityReducer,security
DailyChukwaRecordRolling,ChukwaRecordKey,security
DailyChukwaRecordRolling,ChukwaRecord,security
DailyChukwaRecordRolling,SequenceFileOutputFormat,security
DailyChukwaRecordRolling,Configured,security
DailyChukwaRecordRolling,Tool,security
DailyChukwaRecordRolling,Logger,security
DailyChukwaRecordRolling,FileSystem,security
DailyChukwaRecordRolling,FileStatus,security
DailyChukwaRecordRolling,FileUtil,security
DailyChukwaRecordRolling,DaemonWatcher,security
DailyChukwaRecordRolling,FileInputFormat,security
DailyChukwaRecordRolling,FileOutputFormat,security
DailyChukwaRecordRolling,JobPriority,security
DailyChukwaRecordRolling,JobClient,security
DailyChukwaRecordRolling,Configuration,security
DailyChukwaRecordRolling,RunningJob,security
Demux,Configuration,adaptor
Demux,Path,adaptor
Demux,JobConf,adaptor
Demux,ChukwaConfiguration,adaptor
Demux,SequenceFileInputFormat,adaptor
Demux,Demux$MapClass,adaptor
Demux,ChukwaRecordPartitioner,adaptor
Demux,Demux$ReduceClass,adaptor
Demux,ChukwaRecordKey,adaptor
Demux,ChukwaRecord,adaptor
Demux,ChukwaRecordOutputFormat,adaptor
Demux,Configured,adaptor
Demux,Tool,adaptor
Demux,Logger,adaptor
Demux,FileStatus,adaptor
Demux,FileSystem,adaptor
Demux,ToolRunner,adaptor
Demux,DistributedCache,adaptor
Demux,ExceptionUtil,adaptor
Demux,JobPriority,adaptor
Demux,FileInputFormat,adaptor
Demux,FileOutputFormat,adaptor
Demux,JobClient,adaptor
Demux,RunningJob,adaptor
Demux$MapClass,ChukwaOutputCollector,no_match
Demux$MapClass,ChukwaArchiveKey,no_match
Demux$MapClass,ChunkImpl,no_match
Demux$MapClass,MapReduceBase,no_match
Demux$MapClass,Mapper,no_match
Demux$MapClass,JobConf,no_match
Demux$MapClass,OutputCollector,no_match
Demux$MapClass,Reporter,no_match
Demux$MapClass,MapProcessor,no_match
Demux$MapClass,ChukwaRecordKey,no_match
Demux$MapClass,ChukwaRecord,no_match
Demux$MapClass,Demux,no_match
Demux$MapClass,Logger,no_match
Demux$MapClass,MapProcessorFactory,no_match
Demux$MapClass,Chunk,no_match
Demux$ReduceClass,ChukwaOutputCollector,no_match
Demux$ReduceClass,ChukwaRecordKey,no_match
Demux$ReduceClass,MapReduceBase,no_match
Demux$ReduceClass,Reducer,no_match
Demux$ReduceClass,OutputCollector,no_match
Demux$ReduceClass,Reporter,no_match
Demux$ReduceClass,ChukwaRecord,no_match
